00454220;Blizzard__File__SetLastErrorStack
00454250;Blizzard__File__AddToLastErrorStack
00454870;System_File__read_overlapped
00454910;System_File__write_overlapped
004549B0;System_File__ToCreateFlags
00454A50;System_File__SetWorkingDirectory
00454AC0;System_File__Create
00454AE0;System_File__GetWorkingDirectory
00454B50;System_File__ProcessDirFast
00454CB0;System_File__Flush
00454CF0;System_File__GetFileInfo
00454E70;System_File__GetFreeSpace
00454FD0;System_File__GetPos
00455050;System_File__IsAbsolutePath
004550C0;System_File__IsReadOnly
00455130;System_File__CreateDirectory
004554C0;System_File__Copy
00455730;System_File__Open
004558F0;System_File__Read
00455910;System_File__RemoveDirectory
00455A30;System_File__SetCacheMode
00455B10;System_File__SetEOF
00455BA0;System_File__SetAttributes
00455CA0;System_File__SetPos
00455D20;System_File__Write
00455D40;version
00456A00;source
00457820;System_File__read_locked
00457910;System_File__write_locked
00459910;System_File__detect_io_mode
0045A4B0;Blizzard__Mopaq__SFileReadFile
0045B5A0;Blizzard__Mopaq__SFileLoadFile
0045C480;Blizzard__Mopaq__SFileOpenArchive
0045D1E0;isTrial
0045F700;SFileCreateArchive
00460010;SFileCreateFile
00461290;manifest_0
004616A0;Blizzard__Streaming__InitializeStreaming
00461B00;OsCloseFile
00461B10;OsFileExists
00461B30;OsDirectoryExists
00461B50;OsReadFile
00461B90;OsWriteFile
00461BD0;OsGetFileSize
00461C00;OsGetFileAttributes
00461C40;OsSetFileAttributes
00461C70;OsMoveFile
00461CA0;OsCopyFile
00461CE0;OsDeleteFile
00461D10;CreateDirectory
00461D40;OsRemoveDirectory
00461D70;OsRemoveDirectoryRecurse
00461DB0;OsSetCurrentDirectory
00461DE0;OsGetCurrentDirectory
00461E10;OsFileList__Internal__Callback
00461EF0;OsCreateFileMode
00461F70;OsFileGetDownloadFolder
00461FA0;OsCreateFile
00462000;OsFileList
004620A0;runas
00462190;CGlueMgr__PatchDownloadExecuteCommand
00462280;GetTrackerForLocale
00462EF0;HOWMANYUNIQUEUSERARE
00464350;RealmConnection__HandleConnect
00464390;RealmConnection__HandleDisconnect
004643D0;RealmConnection__HandleCantConnect
00464410;SMSG_ADDON_INFO
00464490;RealmConnection__SetSelectedRealm
00464580;SecureRandom_GetHash
00464640;RealmConnection__HandleAuthResponse
00464730;SMSG_CLIENTCACHE_VERSION
00464780;ClientConnection_HandleCharacterLoginFailed
00464830;RealmConnection__HandleAuthChallenge
00464A40;ClientConnection__SendCharEnumOpcode
00464AB0;ClientConnection__SendPlayerLoginOpcode
00464C10;ClientConnection__HandleCharEnum
00464F50;RealmConnection__MessageHandler
004650E0;RealmConnection__constructor
00465320;ClientConnection_ClientConnection
00465450;ClientConnection__destructor
00465480;LoginResponse__UpdateLoginStatus
00465520;GruntLogin_vFunc3
00465530;GruntLogin_vFunc12
00465550;Login__GetFileStatus
00465600;GruntLogin_vFunc16
00465620;GruntLogin__SetCredentials
004656B0;LoginBase_Destructor
00465730;GruntLogin_vFunc31
00465740;GruntLogin_vFunc32
00465750;delete_5
004658D0;LoginBase_Ctor
00465F10;GruntLogin_vFunc17
00465F80;CDataStore_GetHeaderPointer
00466050;WDataStore__StaticInitialize
00466230;WDataStore__FreeBuffer
004662F0;CDataStore_CheckResize_0
00466510;WDataStore_Allocate
00466670;OsNetAddrToStr
004666D0;WowConnection__SetResponse
004667F0;WowConnection__SetType
00466820;WowConnection__SetEncryption
00466910;GxBufferManager::ResizePoolB
004669A0;CDataStore_CreateFromData
004669D0;WowConnection__Init
00466B50;WowConnection__Disconnect
00466B90;WowConnection__DestroyOsNet
00466BF0;WowConnection__SetEncryptionKey
00466DE0;WowConnection__CloseSocket
00466E30;WoWConnection__FreeSendList
00466F00;WowConnection__DoStreamReads
00467270;WowConnection__constructor
00467330;WowConnection__constructor_0
004673C0;WowConnection__destructor
004675F0;WowConnection__Send
00467990;WowConnection__SendRaw
00467BA0;WowConnection__DoMessageReads
00468200;WowConnection__Release
00468250;ClntObjMgrEnumVisibleObjects_0
00468390;WowConnection__CheckConnect
00468580;WowConnection__CheckAccept
00468790;WowConnection__DoWrites
00468A90;WowConnection__DoReads
00468B30;WowConnection__DoExceptions
00468BA0;WowConnection__StartConnect
00468D20;WowConnection__Connect
00468D90;WowConnection__InitOsNet
00468E50;WowConnection__Connect_0
00468FF0;WowConnectionNet__Service
00469080;WowConnection__Stop
004692C0;WowConnectionNet__Delete
00469320;WowConnection__Start
004695F0;WowConnectionNet__constructor
00469730;WSACleanup
0046C890;vorbis
0046C9B0;vorbis_0
004703D0;?_Get_future_error_what@std@@YAPBDH@Z
00473C70;SCompInit
00474830;SCompCleanUp
00474A00;SCompProcess
00474B70;SCompDecompress
0047ADE0;CDataStore__GetBufferParams
0047AE10;CDataStore__DetachBuffer
0047AE50;CDataStore__InternalDestroy
0047AEA0;CDataStore__InternalFetchWrite
0047AEF0;CDataStore_PutInt8AtPos
0047AF40;CDataStore__Set
0047AF90;CDataStore_PutInt32AtPos
0047AFE0;CDataStore__Put_uint8_t
0047B040;CDataStore__Put_uint16_t
0047B0A0;CDataStore__Put_uint32_t
0047B100;CDataStore__Put_uint64_t
0047B160;CDataStore_PutFloat
0047B1C0;CDataStore__PutArray
0047B280;CDataStore__PutData
0047B290;CDataStore__FetchRead
0047B300;CDataStore__PutString
0047B340;CDataStore::Get_uint8_t
0047B380;CDataStore__Get_uint16_t
0047B3C0;CDataStore::Get_uint32_t
0047B400;CDataStore::Get_uint64_t
0047B440;CDataStore::Get_float
0047B480;CDataStore::GetString
0047B560;CDataStore__GetArray
0047B5F0;CDataStore_GetIntArray
0047B6A0;CDataStore_GetCString_2
0047B6B0;CDataStore__GetDataInSitu
0047B6F0;CmdLineGetBool
0047B700;CmdLineGetString
0047B720;CmdLineProcess
0047B740;s_5__
0047B750;delete_17
0047B800;quicksort
0047B9E0;ConvertUTF16toUTF8
0047BD40;sgetu8
0047BF20;IsPointerDifferent
0047BF30;TextureRelease
0047BF50;HandleCreate
0047BF70;TextureAddRef
0047BF90;CoordinateSetAspectRatio
0047BFD0;CoordinateGetAspectRatio
0047BFE0;CoordinateGetAspectCompensation
0047BFF0;NDCToDDC
